"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACTINOPTERYGII","80","10","90","116","6","212","594","932","1,178","2,704","1","595","12,638","4,081","20,109"
"AMPHIBIA","35","2","37","142","3","182","650","1,036","704","2,390","0","408","3,129","1,202","7,166"
"ANTHOZOA","0","0","0","1","0","1","6","26","202","234","0","175","293","166","868"
"ARACHNIDA","9","0","9","21","0","30","65","84","54","203","0","11","91","44","358"
"ASTEROIDEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"AVES","159","5","164","22","0","186","223","460","798","1,481","0","1,001","8,460","52","11,158"
"BIVALVIA","32","0","32","15","0","47","78","67","58","203","4","56","339","170","804"
"BRANCHIOPODA","0","0","0","0","0","0","8","13","22","43","1","1","1","1","47"
"CEPHALASPIDOMORPHI","1","0","1","1","0","2","2","4","2","8","0","3","22","3","37"
"CEPHALOPODA","0","0","0","0","0","0","1","2","2","5","0","2","324","419","750"
"CHILOPODA","0","0","0","2","0","2","3","5","1","9","0","0","1","0","10"
"CHONDRICHTHYES","0","0","0","4","0","4","68","97","151","316","0","112","517","241","1,186"
"CLITELLATA","2","0","2","4","0","6","6","13","8","27","0","12","74","107","222"
"DIPLOPODA","3","0","3","4","0","7","35","32","18","85","0","42","37","34","201"
"ECHINOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ENOPLA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"ENTOGNATHA","0","0","0","2","0","2","2","0","2","4","0","2","0","1","7"
"GASTROPODA","267","14","281","134","2","417","603","517","972","2,092","0","635","2,644","1,640","7,292"
"HOLOTHUROIDEA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"HYDROZOA","0","0","0","1","0","1","1","2","2","5","0","1","8","2","16"
"INSECTA","63","1","64","69","0","133","347","690","811","1,848","3","608","4,968","2,614","10,105"
"MALACOSTRACA","7","1","8","18","1","27","141","161","308","610","0","71","1,199","1,130","3,018"
"MAMMALIA","85","2","87","28","0","115","221","539","557","1,317","0","363","3,313","852","5,932"
"MAXILLOPODA","2","0","2","0","0","2","7","0","71","78","8","0","0","22","110"
"MEROSTOMATA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"MONOPLACOPHORA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MYXINI","0","0","0","0","0","0","1","2","6","9","0","2","35","30","76"
"ONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"OSTRACODA","2","0","2","0","0","2","2","0","9","11","0","0","0","0","13"
"POLYCHAETA","0","0","0","0","0","0","1","0","0","1","0","0","0","1","2"
"REPTILIA","30","3","33","41","0","74","324","584","541","1,449","2","446","5,131","1,175","8,236"
"SARCOPTERYGII","0","0","0","0","0","0","1","1","1","3","0","0","4","0","7"
"TURBELLARIA","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"Total","779","38","817","626","12","1,455","3,395","5,278","6,493","15,166","19","4,548","43,341","14,235","78,126"